winner,vp,steps,rl_damage,enemy_damage,rl_attacks,enemy_attacks,rl_kills,enemy_kills,rl_efficiency,enemy_efficiency
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,37.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,31.0,0.0,24.0,0.0,16.0,0.0,7.0,0.0,1.5
US,0.0,26.0,14.0,7.0,14.0,9.0,5.0,2.0,1.0,0.7777777777777778
GE,0.0,46.0,5.0,24.0,6.0,21.0,2.0,7.0,0.8333333333333334,1.1428571428571428
GE,0.0,38.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,42.0,0.0,24.0,0.0,22.0,0.0,7.0,0.0,1.0909090909090908
GE,0.0,52.0,8.0,24.0,7.0,28.0,3.0,7.0,1.1428571428571428,0.8571428571428571
US,0.0,24.0,14.0,2.0,14.0,9.0,5.0,1.0,1.0,0.2222222222222222
US,0.0,31.0,14.0,7.0,19.0,11.0,5.0,2.0,0.7368421052631579,0.6363636363636364
US,0.0,28.0,14.0,2.0,17.0,10.0,5.0,1.0,0.8235294117647058,0.2
GE,0.0,36.0,2.0,24.0,3.0,18.0,1.0,7.0,0.6666666666666666,1.3333333333333333
GE,0.0,44.0,0.0,24.0,0.0,21.0,0.0,7.0,0.0,1.1428571428571428
GE,0.0,33.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,35.0,0.0,24.0,0.0,18.0,0.0,7.0,0.0,1.3333333333333333
GE,0.0,39.0,0.0,24.0,0.0,19.0,0.0,7.0,0.0,1.263157894736842
GE,0.0,34.0,0.0,24.0,0.0,17.0,0.0,7.0,0.0,1.411764705882353
GE,0.0,36.0,3.0,24.0,3.0,18.0,1.0,7.0,1.0,1.3333333333333333
US,0.0,23.0,14.0,0.0,15.0,8.0,5.0,0.0,0.9333333333333333,0.0
US,0.0,33.0,14.0,7.0,19.0,12.0,5.0,2.0,0.7368421052631579,0.5833333333333334
GE,0.0,40.0,4.0,24.0,15.0,19.0,1.0,7.0,0.26666666666666666,1.263157894736842
US,0.0,36.0,14.0,2.0,20.0,13.0,5.0,1.0,0.7,0.15384615384615385
US,0.0,23.0,14.0,6.0,13.0,9.0,5.0,2.0,1.0769230769230769,0.6666666666666666
US,0.0,28.0,14.0,2.0,16.0,11.0,5.0,1.0,0.875,0.18181818181818182
US,0.0,27.0,14.0,7.0,16.0,10.0,5.0,2.0,0.875,0.7
US,0.0,39.0,14.0,12.0,22.0,13.0,5.0,4.0,0.6363636363636364,0.9230769230769231
